posterior_mu,generation,estimated_p_theta,FrequencyPer350Mil,WordA,WordB,RelFreq,GenPref
0.35897091922666713,500,0.35897091922666713,187,body,head,0.15114194854004,0.319810511689688
0.09291503367130773,500,0.09291503367130773,887,body,mind,0.417304668933494,0.478831132419334
0.04947465719160816,500,0.04947465719160816,887,body,mind,0.417304668933494,0.478831132419334
0.07774494922317764,500,0.07774494922317764,887,body,mind,0.417304668933494,0.478831132419334
0.06293380036503697,500,0.06293380036503697,887,body,mind,0.417304668933494,0.478831132419334
0.8106698648529844,500,0.8106698648529844,887,body,mind,0.417304668933494,0.478831132419334
0.07723826321425191,500,0.07723826321425191,887,body,mind,0.417304668933494,0.478831132419334
0.8820973773717248,500,0.8820973773717248,887,body,mind,0.417304668933494,0.478831132419334
0.06359466425443122,500,0.06359466425443122,887,body,mind,0.417304668933494,0.478831132419334
0.7950302420125215,500,0.7950302420125215,887,body,mind,0.417304668933494,0.478831132419334
0.5390827281166224,500,0.5390827281166224,887,body,mind,0.417304668933494,0.478831132419334
0.4409944876066882,500,0.4409944876066882,8,bombers,missiles,0.388141239173884,0.490555031315192
0.4391298300495874,500,0.4391298300495874,8,bombers,missiles,0.388141239173884,0.490555031315192
0.3850860324228354,500,0.3850860324228354,8,bombers,missiles,0.388141239173884,0.490555031315192
0.6045569070688589,500,0.6045569070688589,8,bombers,missiles,0.388141239173884,0.490555031315192
0.497146649051733,500,0.497146649051733,8,bombers,missiles,0.388141239173884,0.490555031315192
0.49272161575884393,500,0.49272161575884393,8,bombers,missiles,0.388141239173884,0.490555031315192
0.6045569070688589,500,0.6045569070688589,8,bombers,missiles,0.388141239173884,0.490555031315192
0.3326319066805833,500,0.3326319066805833,8,bombers,missiles,0.388141239173884,0.490555031315192
0.4960579546363403,500,0.4960579546363403,8,bombers,missiles,0.388141239173884,0.490555031315192
0.3312230529522636,500,0.3312230529522636,8,bombers,missiles,0.388141239173884,0.490555031315192
0.37463858843448483,500,0.37463858843448483,78,bone,flesh,0.218798087491756,0.435801794433422
0.525476684273895,500,0.525476684273895,78,bone,flesh,0.218798087491756,0.435801794433422
0.45644483284086035,500,0.45644483284086035,78,bone,flesh,0.218798087491756,0.435801794433422
0.3954938789720277,500,0.3954938789720277,78,bone,flesh,0.218798087491756,0.435801794433422
0.41176980562795307,500,0.41176980562795307,78,bone,flesh,0.218798087491756,0.435801794433422
0.4807168539426438,500,0.4807168539426438,78,bone,flesh,0.218798087491756,0.435801794433422
0.4268535675265373,500,0.4268535675265373,78,bone,flesh,0.218798087491756,0.435801794433422
0.42245676880893474,500,0.42245676880893474,78,bone,flesh,0.218798087491756,0.435801794433422
0.4457082477123061,500,0.4457082477123061,78,bone,flesh,0.218798087491756,0.435801794433422
0.5366601147074167,500,0.5366601147074167,78,bone,flesh,0.218798087491756,0.435801794433422
0.7684390127403962,500,0.7684390127403962,64,bone,muscle,0.563346293068776,0.614658984740071
0.5960870815200481,500,0.5960870815200481,64,bone,muscle,0.563346293068776,0.614658984740071
0.6269157185274997,500,0.6269157185274997,64,bone,muscle,0.563346293068776,0.614658984740071
0.6010728627834281,500,0.6010728627834281,64,bone,muscle,0.563346293068776,0.614658984740071
0.8263498139223003,500,0.8263498139223003,64,bone,muscle,0.563346293068776,0.614658984740071
0.7100768777714157,500,0.7100768777714157,64,bone,muscle,0.563346293068776,0.614658984740071
0.7111261027733066,500,0.7111261027733066,64,bone,muscle,0.563346293068776,0.614658984740071
0.7648230909743713,500,0.7648230909743713,64,bone,muscle,0.563346293068776,0.614658984740071
0.6414849417678835,500,0.6414849417678835,64,bone,muscle,0.563346293068776,0.614658984740071
0.6316443443383166,500,0.6316443443383166,64,bone,muscle,0.563346293068776,0.614658984740071
0.7306525423740834,500,0.7306525423740834,20,bones,skulls,0.393354825291181,0.497668306426385
0.3974737408980434,500,0.3974737408980434,20,bones,skulls,0.393354825291181,0.497668306426385
0.4672556335494277,500,0.4672556335494277,20,bones,skulls,0.393354825291181,0.497668306426385
0.3354547823453868,500,0.3354547823453868,20,bones,skulls,0.393354825291181,0.497668306426385
